Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
62,Any,Any,Any,Any,Iris-versicolor
63,Any,Any,Any,Any,Iris-versicolor
64,"[6,7]","[2.4,3)","[4.5,5)","[1,2.5]",Iris-versicolor
65,"[5.5,6]","[2.4,3)","[3,6.9)",1.3,Iris-versicolor
66,Any,"[3,4.4]",Any,Any,Iris-versicolor
67,Any,Any,Any,Any,Iris-versicolor
68,Any,Any,Any,Any,Iris-versicolor
69,Any,Any,Any,Any,Iris-versicolor
70,Any,"[2,3)","[3,6.9)","[1,2.5]",Iris-versicolor
71,Any,Any,Any,Any,Iris-versicolor
72,"[6,6.5)",Any,"[3,6.9)","[1,2.5]",Iris-versicolor
73,Any,Any,Any,Any,Iris-versicolor
74,"[6,7]","[2.4,3)","[4.5,5)","[1,2.5]",Iris-versicolor
75,Any,Any,Any,Any,Iris-versicolor
76,Any,Any,Any,Any,Iris-versicolor
77,Any,Any,Any,Any,Iris-versicolor
78,Any,Any,Any,Any,Iris-versicolor
79,Any,Any,Any,Any,Iris-versicolor
80,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
81,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
82,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
83,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
84,Any,Any,Any,Any,Iris-versicolor
85,Any,"[3,4)",Any,Any,Iris-versicolor
86,Any,Any,Any,Any,Iris-versicolor
87,Any,Any,Any,Any,Iris-versicolor
88,Any,Any,Any,Any,Iris-versicolor
89,Any,Any,Any,Any,Iris-versicolor
90,"[5.5,6]","[2.4,3)","[3,6.9)",1.3,Iris-versicolor
91,Any,Any,Any,Any,Iris-versicolor
92,Any,"[3,4)",Any,Any,Iris-versicolor
93,Any,Any,Any,Any,Iris-versicolor
94,Any,Any,Any,Any,Iris-versicolor
95,"[5.5,6]","[2.4,3)","[3,6.9)",1.3,Iris-versicolor
96,Any,Any,Any,Any,Iris-versicolor
97,Any,Any,Any,Any,Iris-versicolor
98,Any,Any,Any,Any,Iris-versicolor
99,Any,Any,Any,Any,Iris-versicolor
100,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
101,Any,Any,Any,Any,Iris-virginica
102,Any,Any,Any,Any,Iris-virginica
103,Any,Any,Any,Any,Iris-virginica
104,Any,Any,Any,Any,Iris-virginica
105,"[6,7]",Any,"[5.5,6)","[2,2.5]",Iris-virginica
106,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
107,Any,"[2.4,3)","[3,6.9)","[1.5,2)",Iris-virginica
108,Any,Any,Any,Any,Iris-virginica
109,Any,"[2,3)","[3,6.9)","[1,2.5]",Iris-virginica
110,Any,Any,Any,Any,Iris-virginica
111,Any,"[3,4)",Any,Any,Iris-virginica
112,Any,Any,Any,Any,Iris-virginica
113,Any,Any,Any,Any,Iris-virginica
114,Any,Any,Any,Any,Iris-virginica
115,Any,Any,Any,Any,Iris-virginica
116,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
117,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
118,Any,Any,Any,Any,Iris-virginica
119,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
120,Any,"[2,3)","[3,6.9)","[1,2.5]",Iris-virginica
121,"[6,7]",Any,"[5.5,6)","[2,2.5]",Iris-virginica
122,Any,Any,Any,Any,Iris-virginica
123,Any,Any,Any,Any,Iris-virginica
124,Any,"[2.4,3)","[3,6.9)","[1.5,2)",Iris-virginica
125,Any,Any,Any,Any,Iris-virginica
126,Any,"[3,4)",Any,Any,Iris-virginica
127,Any,Any,Any,Any,Iris-virginica
128,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
129,"[6,7]",Any,"[5.5,6)","[2,2.5]",Iris-virginica
130,Any,"[3,4)",Any,Any,Iris-virginica
131,Any,Any,Any,Any,Iris-virginica
132,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
133,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
134,Any,"[2.4,3)","[3,6.9)","[1.5,2)",Iris-virginica
135,"[6,6.5)",Any,"[3,6.9)","[1,2.5]",Iris-virginica
136,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
137,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
138,Any,"[3,4)",Any,Any,Iris-virginica
139,Any,"[3,4.4]",Any,Any,Iris-virginica
140,Any,Any,Any,Any,Iris-virginica
141,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
142,Any,"[3,4)",Any,Any,Iris-virginica
143,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
144,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
145,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
146,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
147,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
148,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
149,Any,Any,Any,Any,Iris-virginica
150,Any,Any,Any,Any,Iris-virginica
