Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
55,"[6,7]","[2.4,3)","[4.5,5)","[1.5,2)",Iris-versicolor
56,5.7,"[2.4,3)","[4,5)",1.3,Iris-versicolor
57,"[6,6.5)","[3,3.5)","[4.5,5)","[1.5,2)",Iris-versicolor
58,Any,"[2.4,3)","[3,4)",1.0,Iris-versicolor
59,"[6,7]",2.9,"[4,5)",1.3,Iris-versicolor
60,"[5,6]","[2.4,3)",3.9,"[1,1.5)",Iris-versicolor
61,"[5,5.5)","[2,3)","[3,4)","[1,1.5)",Iris-versicolor
62,"[5.5,6]","[3,3.5)","[4,5)","[1.5,2)",Iris-versicolor
63,"[6,6.5)","[2,3)","[4,4.5)","[1,1.5)",Iris-versicolor
64,"[6,7]","[2.4,3)","[4.5,5)","[1,1.5)",Iris-versicolor
65,"[5.5,6]","[2.4,3)","[3,6.9)","[1,1.5)",Iris-versicolor
66,Any,"[3,3.5)","[4,5)",1.4,Iris-versicolor
67,"[5.5,6]","[3,3.5)","[4,5)","[1.5,2)",Iris-versicolor
68,"[5.5,6]","[2.4,3)","[3,6.9)","[1,1.5)",Iris-versicolor
69,"[6,6.5)","[2,3)","[4.5,5)","[1.5,2)",Iris-versicolor
70,"[5,6]","[2.4,3)",3.9,"[1,1.5)",Iris-versicolor
71,"[5.5,6]","[3,3.5)","[4,5)","[1.5,2)",Iris-versicolor
72,"[6,6.5)","[2,3)","[4,4.5)","[1,1.5)",Iris-versicolor
73,"[6,7]","[2.4,3)","[4.5,5)","[1.5,2)",Iris-versicolor
74,"[6,7]","[2.4,3)","[4.5,5)","[1,1.5)",Iris-versicolor
75,"[6,7]",2.9,"[4,5)",1.3,Iris-versicolor
76,Any,"[3,3.5)","[4,5)","[1,2.5]",Iris-versicolor
77,"[6,7]","[2.4,3)","[4.5,5)","[1,1.5)",Iris-versicolor
78,"[6.5,7]",3.0,"[5,6]","[1,2.5]",Iris-versicolor
79,"[6,6.5)","[2,3)","[4.5,5)","[1.5,2)",Iris-versicolor
80,Any,"[2.4,3)","[3,4)",1.0,Iris-versicolor
81,"[5.5,6]","[2.4,3)","[3,6.9)","[1,1.5)",Iris-versicolor
82,Any,"[2.4,3)","[3,4)",1.0,Iris-versicolor
83,"[5,6]","[2.4,3)",3.9,"[1,1.5)",Iris-versicolor
84,"[6,6.5)","[2.4,3)","[5,5.5)","[1.5,2)",Iris-versicolor
85,"[5,5.5)","[3,4.4]",Any,Any,Iris-versicolor
86,"[6,7]","[3,3.5)","[4.5,5)","[1.5,2)",Iris-versicolor
87,Any,"[3,3.5)","[4,5)","[1,2.5]",Iris-versicolor
88,"[6,6.5)","[2,3)","[4,4.5)","[1,1.5)",Iris-versicolor
89,Any,"[3,3.5)","[4,5)","[1,2.5]",Iris-versicolor
90,"[5.5,6]","[2,3)","[4,4.5)",1.3,Iris-versicolor
91,"[5.5,6]","[2.4,3)","[4,5)","[1,2.5]",Iris-versicolor
92,Any,"[3,3.5)","[4,5)",1.4,Iris-versicolor
93,"[5.5,6]","[2.4,3)","[4,5)","[1,2.5]",Iris-versicolor
94,"[5,5.5)","[2,3)","[3,4)","[1,1.5)",Iris-versicolor
95,"[5.5,6]","[2,3)","[4,4.5)",1.3,Iris-versicolor
96,Any,3.0,"[3,6.9)","[1,2.5]",Iris-versicolor
97,5.7,"[2.4,3)","[4,5)",1.3,Iris-versicolor
98,"[6,7]",2.9,"[4,5)",1.3,Iris-versicolor
99,"[5,5.5)","[2,3)","[3,4)","[1,1.5)",Iris-versicolor
100,5.7,"[2.4,3)","[4,5)",1.3,Iris-versicolor
101,"[6,7]","[3,3.5)","[3,6.9)","[2,2.5]",Iris-virginica
102,5.8,"[2.4,3)",5.1,"[1,2.5]",Iris-virginica
103,Any,3.0,"[3,6.9)","[1,2.5]",Iris-virginica
104,"[6,7]","[2.4,3)","[5,6]","[1.5,2)",Iris-virginica
105,"[6.5,7]",3.0,"[5,6]","[2,2.5]",Iris-virginica
106,"[7.5,7.9]","[3,4)","[6,6.9]","[2,2.5]",Iris-virginica
107,Any,"[2.4,3)","[3,6.9)","[1.5,2)",Iris-virginica
108,Any,"[2.4,3)","[3,6.9)","[1.5,2)",Iris-virginica
109,"[6,7]","[2.4,3)","[5,6]","[1.5,2)",Iris-virginica
110,"[7,7.9]","[3,4)","[6,6.5)","[1,2.5]",Iris-virginica
111,"[6.5,7]",3.2,"[5,6]","[2,2.5]",Iris-virginica
112,"[6,6.5)","[2.4,3)","[5,5.5)","[1.5,2)",Iris-virginica
113,"[6.5,7]",3.0,"[5,6]","[2,2.5]",Iris-virginica
114,Any,"[2.4,3)","[5,6]","[2,2.5]",Iris-virginica
115,5.8,"[2.4,3)",5.1,"[1,2.5]",Iris-virginica
116,"[6,7]","[3,3.5)","[5,5.5)",2.3,Iris-virginica
117,"[6.5,7]",3.0,"[5,6]","[1,2.5]",Iris-virginica
118,"[7.5,7.9]","[3,4)","[6,6.9]","[2,2.5]",Iris-virginica
119,Any,"[2.4,3)","[3,6.9)","[1,2.5]",Iris-virginica
120,"[6,7]",Any,"[5,6]","[1,2.5]",Iris-virginica
121,"[6.5,7]",3.2,"[5,6]","[2,2.5]",Iris-virginica
122,"[5.5,6]","[2.4,3)","[4,5)","[1,2.5]",Iris-virginica
123,Any,"[2.4,3)","[3,6.9)","[1,2.5]",Iris-virginica
124,"[6,6.5)","[2,3)","[4.5,5)","[1.5,2)",Iris-virginica
125,Any,"[3,3.5)","[5.5,6)","[1,2.5]",Iris-virginica
126,"[7,7.9]","[3,4)","[6,6.5)","[1,2.5]",Iris-virginica
127,"[6,7]","[2.4,3)","[4.5,5)","[1.5,2)",Iris-virginica
128,"[6,6.5)","[3,3.5)","[4.5,5)","[1.5,2)",Iris-virginica
129,Any,"[2.4,3)","[5,6]","[2,2.5]",Iris-virginica
130,Any,"[3,3.5)","[5.5,6)","[1,2.5]",Iris-virginica
131,Any,"[2.4,3)","[3,6.9)","[1.5,2)",Iris-virginica
132,"[7,7.9]","[3,4)","[6,6.5)","[1,2.5]",Iris-virginica
133,Any,"[2.4,3)","[5,6]","[2,2.5]",Iris-virginica
134,"[6,6.5)","[2.4,3)","[5,5.5)","[1.5,2)",Iris-virginica
135,Any,"[2.4,3)","[3,6.9)","[1,2.5]",Iris-virginica
136,"[7.5,7.9]","[3,4)","[6,6.9]","[2,2.5]",Iris-virginica
137,"[6,7]","[3,3.5)","[3,6.9)","[2,2.5]",Iris-virginica
138,"[6,7]",Any,"[5,6]","[1,2.5]",Iris-virginica
139,"[6,6.5)","[3,3.5)","[4.5,5)","[1.5,2)",Iris-virginica
140,"[6,7]",Any,"[5,6]","[1,2.5]",Iris-virginica
141,Any,"[3,3.5)","[5.5,6)","[1,2.5]",Iris-virginica
142,"[6,7]","[3,3.5)","[5,5.5)",2.3,Iris-virginica
143,5.8,"[2.4,3)",5.1,"[1,2.5]",Iris-virginica
144,"[6.5,7]",3.2,"[5,6]","[2,2.5]",Iris-virginica
145,"[6,7]","[3,3.5)","[3,6.9)","[2,2.5]",Iris-virginica
146,"[6.5,7]",3.0,"[5,6]","[1,2.5]",Iris-virginica
147,"[6,7]","[2.4,3)","[5,6]","[1.5,2)",Iris-virginica
148,"[6.5,7]",3.0,"[5,6]","[2,2.5]",Iris-virginica
149,"[6,7]","[3,3.5)","[5,5.5)",2.3,Iris-virginica
150,Any,3.0,"[3,6.9)","[1,2.5]",Iris-virginica
