Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
103,Any,Any,Any,"[1,2.5]",Iris-virginica
104,Any,Any,Any,"[1,2.5]",Iris-virginica
105,Any,Any,Any,"[1,2.5]",Iris-virginica
106,Any,Any,Any,"[1,2.5]",Iris-virginica
107,Any,Any,Any,"[1,2.5]",Iris-virginica
108,Any,Any,Any,"[1,2.5]",Iris-virginica
109,Any,Any,Any,"[1,2.5]",Iris-virginica
110,Any,Any,Any,"[1,2.5]",Iris-virginica
111,Any,Any,Any,"[1,2.5]",Iris-virginica
112,Any,Any,Any,"[1,2.5]",Iris-virginica
113,Any,Any,"[5,6]","[1,2.5]",Iris-virginica
114,Any,Any,"[5,6]","[1,2.5]",Iris-virginica
115,Any,Any,"[5,6]","[1,2.5]",Iris-virginica
116,Any,Any,"[5,6]","[1,2.5]",Iris-virginica
117,Any,Any,Any,"[1,2.5]",Iris-virginica
118,Any,Any,Any,"[1,2.5]",Iris-virginica
119,Any,Any,Any,"[1,2.5]",Iris-virginica
120,Any,Any,Any,"[1,2.5]",Iris-virginica
121,Any,Any,"[3,6.9)",Any,Iris-virginica
122,Any,Any,"[3,6.9)",Any,Iris-virginica
123,Any,Any,"[3,6.9)",Any,Iris-virginica
124,Any,Any,"[3,6.9)",Any,Iris-virginica
125,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
126,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
127,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
128,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
129,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
130,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
131,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
132,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
133,Any,Any,Any,"[1,2.5]",Iris-virginica
134,Any,Any,Any,"[1,2.5]",Iris-virginica
135,Any,Any,Any,"[1,2.5]",Iris-virginica
136,Any,Any,Any,"[1,2.5]",Iris-virginica
137,Any,"[3,3.5)","[3,6.9)","[1,2.5]",Iris-virginica
138,Any,"[3,3.5)","[3,6.9)","[1,2.5]",Iris-virginica
139,Any,"[3,3.5)","[3,6.9)","[1,2.5]",Iris-virginica
140,Any,"[3,3.5)","[3,6.9)","[1,2.5]",Iris-virginica
141,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
142,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
143,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
144,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
145,Any,Any,Any,"[1,2.5]",Iris-virginica
146,Any,Any,Any,"[1,2.5]",Iris-virginica
147,Any,Any,Any,"[1,2.5]",Iris-virginica
148,Any,Any,Any,"[1,2.5]",Iris-virginica
149,Any,Any,Any,"[1,2.5]",Iris-virginica
150,Any,Any,Any,"[1,2.5]",Iris-virginica
