Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
34,"[5,6]",Any,Any,"[0.1,0.5)",Iris-setosa
35,Any,"[3,3.5)",Any,Any,Iris-setosa
36,"[5,5.5)",Any,Any,Any,Iris-setosa
37,"[5,6]","[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
38,Any,"[3,3.5)",Any,Any,Iris-setosa
39,"[4.3,5)","[3,3.5)","[1,2)","[0.1,0.5)",Iris-setosa
40,"[5,5.5)",3.4,Any,"[0.1,0.5)",Iris-setosa
41,"[5,6]","[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
42,"[4.3,5)",Any,"[1,2)","[0.1,0.5)",Iris-setosa
43,"[4.3,5)","[3,3.5)",Any,Any,Iris-setosa
44,"[5,5.5)",Any,Any,"[0.1,1)",Iris-setosa
45,"[5,6]","[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
46,"[4.3,5)","[3,3.5)",Any,"[0.1,0.5)",Iris-setosa
47,"[5,5.5)",Any,Any,"[0.1,1)",Iris-setosa
48,"[4.3,5)","[3,3.5)",Any,"[0.1,0.5)",Iris-setosa
49,"[5,5.5)",Any,Any,Any,Iris-setosa
50,"[5,5.5)",Any,Any,Any,Iris-setosa
51,Any,"[3,3.5)",Any,Any,Iris-versicolor
52,Any,"[3,3.5)",Any,Any,Iris-versicolor
53,"[6,7]","[3,3.5)","[4.5,5)","[1.5,2)",Iris-versicolor
54,Any,Any,Any,1.3,Iris-versicolor
55,"[6,7]","[2.4,3)","[4.5,5)","[1,2.5]",Iris-versicolor
56,Any,Any,Any,1.3,Iris-versicolor
57,"[6,7]","[3,3.5)","[4.5,5)","[1.5,2)",Iris-versicolor
58,Any,Any,"[3,6.9)","[1,1.5)",Iris-versicolor
59,Any,Any,"[3,6.9)","[1,1.5)",Iris-versicolor
60,Any,"[2.4,3)",Any,"[1,1.5)",Iris-versicolor
61,Any,Any,"[3,6.9)",Any,Iris-versicolor
62,Any,"[3,3.5)",Any,"[1.5,2)",Iris-versicolor
63,"[6,6.5)","[2,3)","[4,5)","[1,2.5]",Iris-versicolor
64,"[6,7]","[2.4,3)","[4.5,5)","[1,2.5]",Iris-versicolor
65,Any,"[2.4,3)",Any,"[1,1.5)",Iris-versicolor
66,Any,"[3,3.5)","[4,5)",Any,Iris-versicolor
67,Any,"[3,3.5)",Any,"[1.5,2)",Iris-versicolor
68,Any,"[2.4,3)",Any,Any,Iris-versicolor
69,"[6,6.5)","[2,3)","[4,5)","[1,2.5]",Iris-versicolor
70,Any,"[2.4,3)",Any,"[1,1.5)",Iris-versicolor
71,Any,"[3,3.5)",Any,"[1.5,2)",Iris-versicolor
72,"[6,6.5)","[2,3)","[4,5)","[1,2.5]",Iris-versicolor
73,"[6,7]","[2.4,3)","[4.5,5)","[1,2.5]",Iris-versicolor
74,"[6,7]","[2,3)",Any,"[1,2.5]",Iris-versicolor
75,"[6,7]","[2,3)",Any,"[1,2.5]",Iris-versicolor
76,Any,"[3,3.5)","[4,5)",Any,Iris-versicolor
77,"[6,7]","[2,3)",Any,"[1,2.5]",Iris-versicolor
78,"[6.5,7]",3.0,"[5,6]",Any,Iris-versicolor
79,"[6,6.5)",Any,"[3,6.9)","[1.5,2)",Iris-versicolor
80,Any,Any,"[3,6.9)","[1,1.5)",Iris-versicolor
81,Any,"[2.4,3)",Any,Any,Iris-versicolor
82,Any,Any,"[3,6.9)","[1,1.5)",Iris-versicolor
83,Any,"[2.4,3)",Any,"[1,1.5)",Iris-versicolor
84,"[6,6.5)",Any,"[3,6.9)","[1.5,2)",Iris-versicolor
85,"[5,6]",Any,Any,Any,Iris-versicolor
86,"[6,7]","[3,3.5)","[4.5,5)","[1.5,2)",Iris-versicolor
87,Any,"[3,3.5)","[4,5)",Any,Iris-versicolor
88,"[6,6.5)","[2,3)","[4,5)","[1,2.5]",Iris-versicolor
89,Any,"[3,3.5)",Any,Any,Iris-versicolor
90,Any,Any,Any,1.3,Iris-versicolor
91,Any,"[2.4,3)",Any,Any,Iris-versicolor
92,Any,"[3,3.5)","[4,5)",Any,Iris-versicolor
93,"[5,6]",Any,Any,Any,Iris-versicolor
94,Any,Any,"[3,6.9)",Any,Iris-versicolor
95,Any,Any,Any,1.3,Iris-versicolor
96,Any,3.0,Any,Any,Iris-versicolor
97,Any,Any,"[3,6.9)",Any,Iris-versicolor
98,"[6,7]","[2,3)",Any,"[1,2.5]",Iris-versicolor
99,Any,Any,"[3,6.9)",Any,Iris-versicolor
100,Any,"[2.4,3)",Any,Any,Iris-versicolor
101,Any,"[3,4.4]",Any,Any,Iris-virginica
102,"[5,6]",Any,Any,Any,Iris-virginica
103,Any,3.0,Any,Any,Iris-virginica
104,Any,"[2.4,3)",Any,"[1.5,2)",Iris-virginica
105,"[6.5,7]",3.0,"[5,6]",Any,Iris-virginica
106,Any,Any,Any,Any,Iris-virginica
107,Any,"[2.4,3)",Any,"[1,2.5]",Iris-virginica
108,Any,"[2.4,3)",Any,"[1,2.5]",Iris-virginica
109,Any,"[2.4,3)",Any,"[1.5,2)",Iris-virginica
110,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
111,Any,"[3,3.5)",Any,Any,Iris-virginica
112,"[6,6.5)",Any,"[3,6.9)","[1.5,2)",Iris-virginica
113,"[6.5,7]",3.0,"[5,6]",Any,Iris-virginica
114,Any,"[2.4,3)",Any,"[1,2.5]",Iris-virginica
115,"[5,6]",Any,Any,Any,Iris-virginica
116,Any,"[3,3.5)",Any,Any,Iris-virginica
117,"[6.5,7]",3.0,"[5,6]",Any,Iris-virginica
118,Any,Any,Any,Any,Iris-virginica
119,Any,"[2.4,3)","[3,6.9)",Any,Iris-virginica
120,Any,Any,Any,"[1,2.5]",Iris-virginica
121,Any,"[3,3.5)",Any,Any,Iris-virginica
122,Any,"[2.4,3)","[3,6.9)",Any,Iris-virginica
123,Any,"[2.4,3)","[3,6.9)",Any,Iris-virginica
124,"[6,6.5)",Any,"[3,6.9)","[1.5,2)",Iris-virginica
125,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
126,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
127,"[6,7]","[2.4,3)","[4.5,5)","[1,2.5]",Iris-virginica
128,"[6,7]","[3,3.5)","[4.5,5)","[1.5,2)",Iris-virginica
129,Any,"[2.4,3)","[3,6.9)",Any,Iris-virginica
130,Any,Any,Any,"[1,2.5]",Iris-virginica
131,Any,"[2.4,3)",Any,"[1,2.5]",Iris-virginica
132,Any,Any,"[3,6.9)","[1,2.5]",Iris-virginica
133,Any,Any,Any,Any,Iris-virginica
134,Any,"[2.4,3)",Any,"[1.5,2)",Iris-virginica
135,Any,Any,Any,Any,Iris-virginica
136,Any,Any,Any,Any,Iris-virginica
137,Any,"[3,4.4]",Any,Any,Iris-virginica
138,Any,Any,Any,"[1,2.5]",Iris-virginica
139,Any,"[3,3.5)",Any,"[1.5,2)",Iris-virginica
140,Any,Any,Any,"[1,2.5]",Iris-virginica
141,Any,Any,Any,Any,Iris-virginica
142,Any,"[3,4.4]",Any,Any,Iris-virginica
143,Any,Any,Any,Any,Iris-virginica
144,Any,"[3,4.4]",Any,Any,Iris-virginica
145,Any,Any,Any,Any,Iris-virginica
146,Any,3.0,Any,Any,Iris-virginica
147,Any,"[2.4,3)",Any,"[1.5,2)",Iris-virginica
148,Any,3.0,Any,Any,Iris-virginica
149,Any,Any,Any,Any,Iris-virginica
150,Any,Any,Any,Any,Iris-virginica
