Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
113,Any,Any,Any,Any,Iris-virginica
114,Any,Any,Any,Any,Iris-virginica
115,Any,Any,Any,Any,Iris-virginica
116,Any,Any,Any,Any,Iris-virginica
117,Any,3.0,Any,Any,Iris-virginica
118,Any,Any,Any,Any,Iris-virginica
119,Any,"[2.4,3)",Any,Any,Iris-virginica
120,Any,Any,Any,Any,Iris-virginica
121,Any,Any,Any,Any,Iris-virginica
122,Any,"[2.4,3)",Any,Any,Iris-virginica
123,Any,"[2.4,3)",Any,Any,Iris-virginica
124,Any,Any,Any,Any,Iris-virginica
125,Any,Any,Any,Any,Iris-virginica
126,Any,Any,Any,Any,Iris-virginica
127,"[6,7]",Any,Any,Any,Iris-virginica
128,Any,"[3,3.5)",Any,"[1.5,2)",Iris-virginica
129,Any,"[2.4,3)",Any,Any,Iris-virginica
130,Any,Any,Any,Any,Iris-virginica
131,Any,"[2.4,3)",Any,Any,Iris-virginica
132,Any,Any,Any,Any,Iris-virginica
133,Any,Any,Any,Any,Iris-virginica
134,Any,Any,Any,Any,Iris-virginica
135,Any,Any,Any,Any,Iris-virginica
136,Any,Any,Any,Any,Iris-virginica
137,Any,Any,Any,Any,Iris-virginica
138,Any,Any,Any,Any,Iris-virginica
139,Any,"[3,3.5)",Any,"[1.5,2)",Iris-virginica
140,Any,Any,Any,Any,Iris-virginica
141,Any,Any,Any,Any,Iris-virginica
142,Any,Any,Any,Any,Iris-virginica
143,Any,Any,Any,Any,Iris-virginica
144,Any,Any,Any,Any,Iris-virginica
145,Any,Any,Any,Any,Iris-virginica
146,Any,3.0,Any,Any,Iris-virginica
147,Any,Any,Any,Any,Iris-virginica
148,Any,3.0,Any,Any,Iris-virginica
149,Any,Any,Any,Any,Iris-virginica
150,Any,Any,Any,Any,Iris-virginica
